,time,geo,income,salary,employees
138,2019,Croatia,8108.727272727273,11463.6,14907.0
139,2019,Cyprus,20351.727272727272,28024.800000000003,8617.0
140,2019,Czechia,11126.09090909091,21553.2,21672.0
141,2019,Denmark,35523.545454545456,44006.4,11493.0
142,2019,Estonia,12917.272727272728,28642.800000000003,6459.0
143,2019,Finland,29060.272727272728,41678.4,29003.0
144,2019,France,28054.81818181818,28752.0,263849.0
145,2019,Germany,26626.81818181818,50113.2,18383.0
146,2019,Greece,9786.363636363636,12141.6,75112.0
147,2019,Hungary,6662.727272727273,10683.6,15042.0
148,2019,Ireland,30941.18181818182,35319.6,29393.0
149,2019,Italy,20760.0,20463.6,134374.0
150,2019,Latvia,9820.272727272728,14090.4,13606.0
151,2019,Lithuania,9413.636363636364,11016.0,13933.0
152,2019,Luxembourg,47110.36363636364,73849.20000000001,966.0
153,2019,Malta,17387.363636363636,16959.6,27852.0
154,2019,Netherlands,28029.0,33114.0,121291.0
155,2019,Poland,8018.636363636364,11406.0,22719.0
156,2019,Portugal,11995.90909090909,18954.0,101104.0
157,2019,Romania,4536.818181818182,4459.2,13191.0
158,2019,Slovakia,8777.09090909091,17457.600000000002,37306.0
159,2019,Slovenia,15385.181818181818,19759.2,19945.0
160,2019,Spain,18444.36363636364,33663.6,36981.0
161,2019,Sweden,28709.18181818182,34156.8,66409.0
162,2020,Austria,31884.090909090908,35853.6,15691.0
163,2020,Belgium,28757.090909090908,35061.6,14321.0
164,2020,Bulgaria,6117.545454545455,9936.0,35470.0
165,2020,Croatia,8658.90909090909,12621.6,12211.0
166,2020,Cyprus,20509.81818181818,28474.8,8746.0
167,2020,Czechia,11989.09090909091,21045.6,21901.0
168,2020,Denmark,35681.454545454544,45012.0,12197.0
169,2020,Estonia,13926.181818181818,28796.399999999998,6424.0
170,2020,Finland,29769.272727272728,42451.2,30222.0
171,2020,France,26276.636363636364,29047.2,264104.0
172,2020,Germany,31445.545454545456,51385.2,19369.0
173,2020,Greece,10479.0,12308.4,74661.0
174,2020,Hungary,7427.818181818182,12327.6,15049.0
175,2020,Ireland,32437.36363636364,34320.0,29342.0
176,2020,Italy,21593.272727272728,21476.4,132280.0
177,2020,Latvia,10355.818181818182,14638.8,13659.0
178,2020,Lithuania,10536.0,15668.4,13597.0
179,2020,Luxembourg,48290.181818181816,69314.40000000001,3481.0
180,2020,Malta,19059.36363636364,17155.2,28476.0
181,2020,Netherlands,30010.727272727272,34473.600000000006,127073.0
182,2020,Poland,8863.272727272728,12108.0,24066.0
183,2020,Portugal,12891.90909090909,19028.4,102555.0
184,2020,Romania,4978.727272727273,4346.4,13191.0
185,2020,Slovakia,9270.09090909091,20391.6,32231.0
186,2020,Slovenia,16081.818181818182,20499.6,20370.0
187,2020,Spain,19419.81818181818,34407.6,37290.0
188,2020,Sweden,28649.454545454544,35161.2,68358.0
189,2021,Austria,32366.090909090908,39288.0,14892.0
190,2021,Belgium,28129.36363636364,35220.0,17615.0
191,2021,Bulgaria,6897.727272727273,11280.0,36068.0
192,2021,Croatia,8884.454545454546,13440.0,12632.0
193,2021,Cyprus,20988.90909090909,27924.0,10193.0
194,2021,Czechia,12257.09090909091,24216.0,21889.0
195,2021,Denmark,37208.81818181818,45792.0,11816.0
196,2021,Estonia,14491.454545454546,33600.0,6333.0
197,2021,Finland,29622.454545454544,43980.0,31716.0
198,2021,Germany,30766.81818181818,57096.0,24224.0
199,2021,Greece,10321.272727272728,12396.0,73242.0
200,2021,Hungary,7485.0,13404.000000000002,15084.0
201,2021,Ireland,33295.181818181816,34896.0,30369.0
202,2021,Italy,21548.90909090909,21588.0,124851.0
203,2021,Latvia,11484.454545454546,15251.999999999998,14091.0
204,2021,Netherlands,30993.0,35124.0,135437.0
205,2021,Romania,5526.818181818182,10884.0,436.0
206,2021,Slovenia,16765.454545454544,20712.0,20428.0
207,2021,Spain,19446.272727272728,34908.0,37685.0
208,2021,Sweden,29594.090909090908,36960.0,69256.0
