"TIME","GEO","STATINFO","UNIT","Value"
"2021S2","Bulgaria","Total","Number","36,068"
"2021S2","Czechia","Total","Number","21,889"
"2021S2","Denmark","Total","Number","11,816"
"2021S2","Germany (until 1990 former territory of the FRG)","Total","Number","24,224"
"2021S2","Estonia","Total","Number","6,333"
"2021S2","Ireland","Total","Number","30,369"
"2021S2","Greece","Total","Number","73,242"
"2021S2","Spain","Total","Number","37,685"
"2021S2","France","Total","Number","260,626"
"2021S2","Croatia","Total","Number","12,632"
"2021S2","Italy","Total","Number","124,851"
"2021S2","Cyprus","Total","Number","10,193"
"2021S2","Latvia","Total","Number","14,091"
"2021S2","Lithuania","Total","Number","13,977"
"2021S2","Luxembourg","Total","Number","4,011"
"2021S2","Hungary","Total","Number","15,084"
"2021S2","Malta","Total","Number","29,068"
"2021S2","Netherlands","Total","Number","135,437"
"2021S2","Austria","Total","Number","14,892"
"2021S2","Poland","Total","Number","24,161"
"2021S2","Portugal","Total","Number","106,563"
"2021S2","Romania","Total","Number","436"
"2021S2","Slovenia","Total","Number","20,428"
"2021S2","Slovakia","Total","Number","32,231"
"2021S2","Finland","Total","Number","31,716"
"2021S2","Sweden","Total","Number","69,256"
"2021S2","United Kingdom","Total","Number",":"
